iId,uId,rating,mpip
1460,303,3,4
660,633,3,3
274,502,3,4
553,35,3,4
1351,377,4,4
1487,782,3,2
1655,136,4,3
1309,385,3,4
1135,326,3,4
1449,206,2,3
505,529,4,3
1203,23,4,4
448,150,4,4
274,165,4,4
768,904,4,3
1030,259,4,4
1057,884,4,3
372,46,4,4
1383,632,4,3
1001,940,3,3
757,813,3,3
837,342,3,4
1394,456,3,4
243,313,4,4
1331,625,3,3
743,910,3,3
1606,384,4,3
1385,177,4,4
381,191,4,4
910,760,3,3
792,446,3,3
1650,642,4,3
360,794,4,3
690,573,4,3
949,326,3,4
1343,179,3,4
1195,267,4,4
1518,107,3,4
141,678,3,3
1503,625,3,3
570,370,4,4
389,756,3,3
1260,154,4,4
545,530,4,4
22,732,4,3
357,104,3,3
1211,891,4,3
117,662,4,3
502,353,3,4
1535,898,4,3
1426,781,4,3
899,407,3,4
1671,492,4,4
812,330,4,3
526,9,4,4
872,750,3,3
1039,857,3,3
1543,702,2,3
897,908,4,3
1513,32,3,4
210,120,4,4
1477,354,4,4
871,490,3,3
51,758,4,3
1153,580,4,3
1493,307,4,4
42,496,5,3
1678,540,4,3
1241,793,4,3
786,26,3,3
1075,555,4,3
534,715,3,3
559,905,3,3
213,449,3,4
238,549,4,3
634,445,2,3
333,57,4,4
185,87,4,4
1343,507,5,3
1488,220,4,4
627,685,2,3
1150,14,4,4
262,603,4,3
630,90,4,3
269,447,4,4
222,865,2,3
335,704,4,3
1572,180,4,4
1450,118,5,3
1387,331,4,4
1157,665,3,3
325,244,4,4
1612,769,3,3
644,70,3,4
537,50,4,4
1032,569,3,3
528,532,4,3
946,739,4,3
548,334,4,4
1256,51,4,4
487,167,3,4
1422,384,4,3
1503,730,3,3
1483,338,4,3
763,857,3,3
1131,277,4,4
257,249,3,3
259,839,3,3
692,175,4,4
266,860,3,3
394,777,4,3
218,761,3,3
1029,250,4,4
43,631,3,3
1055,350,4,3
1445,711,4,3
9,584,4,3
1107,906,4,3
1488,459,3,4
749,831,2,3
1569,544,3,3
571,717,4,3
1194,295,4,3
1501,179,3,4
1593,638,4,3
1600,50,4,4
1571,682,3,3
1504,41,4,4
511,460,3,4
332,738,4,3
747,933,3,2
546,141,4,4
327,378,3,4
1432,89,4,3
1255,582,3,3
554,221,4,4
258,359,4,4
43,924,4,3
216,262,3,4
679,446,3,3
1018,72,4,4
998,763,4,3
1483,17,3,4
1019,296,4,3
1456,814,3,3
1628,891,4,3
756,633,3,3
619,67,4,4
115,13,3,4
764,375,4,4
680,567,4,3
947,550,4,3
55,6,4,4
1228,450,4,4
1162,625,3,3
646,423,4,4
1258,516,4,3
1570,609,2,3
498,547,4,3
256,164,4,3
1400,776,3,3
1593,780,4,3
1370,319,3,4
416,655,3,3
172,316,1,4
1400,650,3,3
469,41,4,4
1228,28,4,4
266,808,4,3
1574,603,4,3
78,312,4,3
98,751,5,3
1452,902,3,3
881,177,4,4
481,737,4,3
940,429,3,4
1668,499,4,4
577,364,3,4
1591,594,3,3
1014,393,3,4
817,564,3,3
20,402,4,4
640,58,5,4
318,656,3,3
868,154,4,4
458,875,4,3
595,532,4,3
576,752,3,3
1475,744,4,3
1564,915,3,3
1619,542,3,3
930,705,4,3
581,209,3,4
1290,364,3,4
1148,508,4,4
1297,488,3,4
981,287,4,3
431,690,2,3
763,39,4,4
63,72,4,4
1547,290,3,4
772,678,3,3
570,383,4,3
1002,252,4,3
1681,72,4,4
431,149,3,3
84,475,4,4
1373,672,3,3
622,835,4,3
1425,695,3,3
270,131,4,3
960,793,4,3
1671,632,4,3
1046,485,3,4
97,227,3,4
631,719,3,3
1651,217,3,3
1453,836,4,3
1475,653,3,2
1167,553,4,3
519,702,2,3
1148,762,3,3
551,128,4,4
643,717,4,3
474,543,5,4
1612,667,4,3
1227,858,3,3
532,284,4,4
1346,894,4,3
1543,236,3,4
397,325,3,4
763,620,4,3
