user,item,rating,cosine,jaccard,pearson,pip,mpip
804,434,4,4.0,4.0,4.0,4.0,4.0
524,70,4,4.0,4.0,4.0,4.0,4.0
207,841,3,0.0,4.0,3.0,4.0,4.0
807,597,4,3.0,3.0,3.0,3.0,4.0
5,222,4,3.0,3.0,2.0,3.0,4.0
693,507,4,3.0,3.0,3.0,3.0,4.0
512,97,5,4.0,3.0,4.0,4.0,3.0
707,124,4,4.0,3.0,3.0,4.0,3.0
432,845,4,4.0,3.0,3.0,3.0,5.0
551,355,4,3.0,4.0,2.0,3.0,4.0
749,48,3,0.0,3.0,4.0,4.0,4.0
461,319,3,4.0,3.0,4.0,4.0,3.0
463,282,3,4.0,3.0,4.0,4.0,4.0
626,332,3,4.0,3.0,1.0,3.0,3.0
611,887,2,4.0,3.0,4.0,3.0,4.0
435,252,2,4.0,3.0,7.0,3.0,4.0
292,653,4,4.0,3.0,4.0,4.0,4.0
391,507,4,3.0,3.0,4.0,3.0,4.0
828,340,5,3.0,3.0,4.0,3.0,4.0
540,117,4,3.0,3.0,4.0,3.0,4.0
306,741,1,4.0,3.0,2.0,3.0,4.0
346,117,4,3.0,3.0,3.0,3.0,4.0
339,197,5,0.0,3.0,4.0,4.0,4.0
588,258,4,3.0,3.0,3.0,4.0,4.0
18,134,5,0.0,4.0,4.0,4.0,4.0
87,63,4,0.0,3.0,3.0,3.0,4.0
634,762,3,3.0,3.0,3.0,4.0,4.0
346,732,3,4.0,3.0,5.0,4.0,4.0
708,764,4,3.0,3.0,3.0,3.0,3.0
417,364,3,0.0,3.0,3.0,3.0,3.0
361,781,2,0.0,3.0,4.0,3.0,4.0
269,823,3,3.0,3.0,3.0,4.0,3.0
892,291,4,4.0,3.0,4.0,4.0,4.0
142,425,4,0.0,3.0,3.0,3.0,4.0
655,1194,5,0.0,3.0,3.0,3.0,3.0
201,737,2,3.0,3.0,3.0,4.0,3.0
915,1038,2,3.0,3.0,3.0,3.0,3.0
749,1263,2,0.0,4.0,4.0,4.0,4.0
59,208,5,4.0,3.0,4.0,4.0,4.0
699,307,3,0.0,3.0,3.0,3.0,3.0
116,56,5,4.0,3.0,4.0,4.0,4.0
262,65,4,3.0,3.0,3.0,3.0,3.0
18,287,4,0.0,4.0,4.0,3.0,2.0
271,1,3,0.0,3.0,4.0,3.0,4.0
92,386,3,0.0,3.0,4.0,3.0,3.0
